WBS,Task Name,Duration,Start,Finish,Predecessors,Resource Names
0,NAIT End of Term LAN Party,48 days,Mon 26-03-02,Wed 26-05-06,,
1,   Research LAN Party,5 days,Mon 26-03-02,Fri 26-03-06,,Jawan
1.1,      Research equipment needed,1 day,Mon 26-03-02,Mon 26-03-02,,Jawan
1.1.1,         Research network and power requirements for equipment,1 day,Mon 26-03-02,Mon 26-03-02,,Jawan
1.1.2,         Research peripherals required,1 day,Mon 26-03-02,Mon 26-03-02,,Jawan
1.2,         Research how to book room at NAIT,3 days,Mon 26-03-02,Wed 26-03-04,,Karen
1.2.1,            Inquire about capacity limits,3 days,Mon 26-03-02,Wed 26-03-04,,Karen
1.2.2,            Inquire about equipment that can be provided by NAIT,3 days,Mon 26-03-02,Wed 26-03-04,,Karen
1.3,      Research Possible Sponsors,1 day,Mon 26-03-02,Mon 26-03-02,,Bora
1.3.1,         Create a sponsor pitch deck,1 day,Tue 26-03-03,Tue 26-03-03,,Bora
1.4,      Research possible vendors,1 day,Mon 26-03-02,Mon 26-03-02,,Kevin
1.5,      Research games that will be played,1 day,Mon 26-03-02,Mon 26-03-02,,Douglas
1.5.1,         Research any DLC that would be required,1 day,Mon 26-03-02,Mon 26-03-02,,Dylan
1.6,      Research ways to distribute survey,2 days,Mon 26-03-02,Tue 26-03-03,,Douglas
1.7,      Research NAIT IT policies,1 day,Mon 26-03-02,Mon 26-03-02,,Douglas
1.8,      Research NAIT food policies,1 day,Mon 26-03-02,Mon 26-03-02,,Douglas
1.9,      Research volunteer recruitment channels,1 day,Mon 26-03-02,Mon 26-03-02,,Karen
1.9.1,         Research volunteer roles required,1 day,Mon 26-03-02,Mon 26-03-02,,Karen
1.1,      Research NAIT security policies,1 day,Mon 26-03-02,Mon 26-03-02,,Kevin
1.11,      Research prizes,1 day,Mon 26-03-02,Mon 26-03-02,,Kevin
1.12,      Compile costs,1 day,Fri 26-03-06,Fri 26-03-06,"2,4,8,10,11,12,19",Kevin
1.0.M,   Research LAN Party complete,0 days,Fri 26-03-06,Fri 26-03-06,,
2,   Plan LAN Party,34 days,Thu 26-03-05,Tue 26-04-21,1,Dylan
2.1,      Create volunteer roles,1 day,Mon 26-03-09,Mon 26-03-09,"16,17",Dylan
2.1.2,         Create volunteer training manual,1 day,Mon 26-03-09,Mon 26-03-09,,Dylan
2.1.3,         Create a discord for volunteer communication,1 day,Mon 26-03-09,Mon 26-03-09,,Dylan
2.2,      Volunteer recruitment,27 days,Mon 26-03-16,Tue 26-04-21,23,Bora
2.2.1,         Confirm volunteers and availability,1 day,Mon 26-04-20,Mon 26-04-20,,Bora
2.2.2,         Create volunteer schedule,1 day,Tue 26-04-21,Tue 26-04-21,,Bora
2.3,      Create a run of show schedule,1 day,Fri 26-04-17,Fri 26-04-17,21,Dylan
2.3.1,         Print run of show schedule for event and post on discord and social media,1 day,Mon 26-04-20,Mon 26-04-20,,Dylan
2.4,      Create a safety plan,1 day,Mon 26-03-09,Mon 26-03-09,,Douglas
2.4.1,         Print safety plan,1 day,Mon 26-03-09,Mon 26-03-09,,Douglas
2.5,      Create a code of conduct,3 days,Thu 26-03-12,Mon 26-03-16,,Douglas
2.5.1,         Print code of conduct for event,1 day,Thu 26-03-12,Thu 26-03-12,,Douglas
2.5.2,         Post code of conduct on event page,1 day,Mon 26-03-16,Mon 26-03-16,,Douglas
2.6,      Create registration form,2 days,Wed 26-03-11,Thu 26-03-12,,Karen
2.6.1,         Create QR code for registration form for marketing material,1 day,Thu 26-03-12,Thu 26-03-12,,Karen
2.7,      Create food and beverage survey,2 days,Wed 26-03-11,Thu 26-03-12,15,Karen
2.7.1,         Create QR code for beverage survey for marketing material,1 day,Thu 26-03-12,Thu 26-03-12,,Karen
2.8,      Create pre and post event stress survey,1 day,Tue 26-04-14,Tue 26-04-14,,Karen
2.9,      Create quest cards,1 day,Wed 26-04-15,Wed 26-04-15,,Karen
2.1,      Contact potential sponsors,6 days,Fri 26-03-06,Fri 26-03-13,"8,9",Kevin
2.10.1,         Create sponsor tracking log,1 day,Fri 26-03-06,Fri 26-03-06,8,Kevin
2.10.2,         Get sponsor logos for marketing materials,1 day,Fri 26-03-13,Fri 26-03-13,,Kevin
2.11,      Create an incident report form,1 day,Fri 26-04-17,Fri 26-04-17,,Dylan
2.12,      Create a budget,1 day,Mon 26-03-09,Mon 26-03-09,"42,20,19",Dylan
2.12.1,         Determine amount for contingency fund,1 day,Mon 26-03-09,Mon 26-03-09,20,Dylan
2.13,      Create social media account,1 day,Mon 26-03-09,Mon 26-03-09,,Jawan
2.14,      Create a risk mitigation plan,1 day,Mon 26-03-09,Mon 26-03-09,,Jawan
2.15,      Create a walkthrough checklist,1 day,Thu 26-03-05,Thu 26-03-05,"5,6,7,10,11,12,14,15",Jawan
2.0.M,   Plan LAN Party Complete,0 days,Thu 26-04-23,Thu 26-04-23,,
3,   Venue,37 days,Mon 26-03-09,Tue 26-04-28,"10,14,15,51,5,6,7,18",Douglas
3.1,      Book Venue with NAIT,1 day,Mon 26-03-09,Mon 26-03-09,5,Douglas
3.1.1,         Finalize venue booking,1 day,Mon 26-03-16,Mon 26-03-16,,Douglas
3.2,      Create layout plan for the event,1 day,Thu 26-04-23,Thu 26-04-23,,Douglas
3.2.1,         Verify power outlet locations,1 day,Thu 26-04-23,Thu 26-04-23,,Douglas
